State,age,pastMonth,drugType
SOUTH REGION,12+,5.83,Marijuana
SOUTH REGION,17-Dec,6.65,Marijuana
SOUTH REGION,18-25,16.37,Marijuana
SOUTH REGION,26+,3.91,Marijuana
SOUTH REGION,18+,5.74,Marijuana
SOUTH REGION,12+,48.43,Alcohol
SOUTH REGION,17-Dec,12.05,Alcohol
SOUTH REGION,18-25,57.62,Alcohol
SOUTH REGION,26+,51.43,Alcohol
SOUTH REGION,18+,52.34,Alcohol
SOUTH REGION,12+,7.64,Illicit Drugs
SOUTH REGION,17-Dec,9.06,Illicit Drugs
SOUTH REGION,18-25,19.01,Illicit Drugs
SOUTH REGION,26+,5.51,Illicit Drugs
SOUTH REGION,18+,7.49,Illicit Drugs
SOUTH REGION,12+,27.99,Tobacco
SOUTH REGION,17-Dec,9.5,Tobacco
SOUTH REGION,18-25,39.18,Tobacco
SOUTH REGION,26+,28.39,Tobacco
SOUTH REGION,18+,29.98,Tobacco
WA,12+,10.21,Marijuana
WA,17-Dec,9.45,Marijuana
WA,18-25,23.44,Marijuana
WA,26+,8.11,Marijuana
WA,18+,10.29,Marijuana
WA,12+,55.7,Alcohol
WA,17-Dec,12.92,Alcohol
WA,18-25,62.61,Alcohol
WA,26+,59.65,Alcohol
WA,18+,60.07,Alcohol
WA,12+,11.92,Illicit Drugs
WA,17-Dec,12.19,Illicit Drugs
WA,18-25,25.9,Illicit Drugs
WA,26+,9.57,Illicit Drugs
WA,18+,11.89,Illicit Drugs
WA,12+,24.65,Tobacco
WA,17-Dec,9.4,Tobacco
WA,18-25,39.58,Tobacco
WA,26+,24,Tobacco
WA,18+,26.21,Tobacco
MIDWEST REGION,12+,6.86,Marijuana
MIDWEST REGION,17-Dec,7.29,Marijuana
MIDWEST REGION,18-25,18.53,Marijuana
MIDWEST REGION,26+,4.81,Marijuana
MIDWEST REGION,18+,6.81,Marijuana
MIDWEST REGION,12+,54.43,Alcohol
MIDWEST REGION,17-Dec,13.14,Alcohol
MIDWEST REGION,18-25,63.63,Alcohol
MIDWEST REGION,26+,58.06,Alcohol
MIDWEST REGION,18+,58.88,Alcohol
MIDWEST REGION,12+,8.67,Illicit Drugs
MIDWEST REGION,17-Dec,9.46,Illicit Drugs
MIDWEST REGION,18-25,20.74,Illicit Drugs
MIDWEST REGION,26+,6.51,Illicit Drugs
MIDWEST REGION,18+,8.59,Illicit Drugs
MIDWEST REGION,12+,29.49,Tobacco
MIDWEST REGION,17-Dec,10.47,Tobacco
MIDWEST REGION,18-25,43.29,Tobacco
MIDWEST REGION,26+,29.53,Tobacco
MIDWEST REGION,18+,31.54,Tobacco
DE,12+,7.49,Marijuana
DE,17-Dec,9.58,Marijuana
DE,18-25,20.95,Marijuana
DE,26+,4.95,Marijuana
DE,18+,7.28,Marijuana
DE,12+,52.55,Alcohol
DE,17-Dec,13.87,Alcohol
DE,18-25,63.73,Alcohol
DE,26+,55.14,Alcohol
DE,18+,56.39,Alcohol
DE,12+,9.36,Illicit Drugs
DE,17-Dec,11.79,Illicit Drugs
DE,18-25,23.09,Illicit Drugs
DE,26+,6.74,Illicit Drugs
DE,18+,9.12,Illicit Drugs
DE,12+,28.04,Tobacco
DE,17-Dec,10.07,Tobacco
DE,18-25,40.16,Tobacco
DE,26+,28.06,Tobacco
DE,18+,29.82,Tobacco
DC,12+,10.45,Marijuana
DC,17-Dec,9.35,Marijuana
DC,18-25,24.49,Marijuana
DC,26+,7.24,Marijuana
DC,18+,10.52,Marijuana
DC,12+,63.94,Alcohol
DC,17-Dec,14.79,Alcohol
DC,18-25,75.13,Alcohol
DC,26+,65.08,Alcohol
DC,18+,66.98,Alcohol
DC,12+,13.51,Illicit Drugs
DC,17-Dec,12.59,Illicit Drugs
DC,18-25,26.97,Illicit Drugs
DC,26+,10.42,Illicit Drugs
DC,18+,13.57,Illicit Drugs
DC,12+,25.32,Tobacco
DC,17-Dec,6.11,Tobacco
DC,18-25,33.58,Tobacco
DC,26+,24.86,Tobacco
DC,18+,26.5,Tobacco
WI,12+,6.69,Marijuana
WI,17-Dec,7.78,Marijuana
WI,18-25,18.18,Marijuana
WI,26+,4.65,Marijuana
WI,18+,6.58,Marijuana
WI,12+,60.96,Alcohol
WI,17-Dec,14.83,Alcohol
WI,18-25,69.06,Alcohol
WI,26+,65.23,Alcohol
WI,18+,65.77,Alcohol
WI,12+,8.18,Illicit Drugs
WI,17-Dec,9.68,Illicit Drugs
WI,18-25,19.98,Illicit Drugs
WI,26+,6.04,Illicit Drugs
WI,18+,8.03,Illicit Drugs
WI,12+,27.07,Tobacco
WI,17-Dec,9.63,Tobacco
WI,18-25,39.99,Tobacco
WI,26+,27.05,Tobacco
WI,18+,28.89,Tobacco
WV,12+,5.27,Marijuana
WV,17-Dec,6.63,Marijuana
WV,18-25,17.55,Marijuana
WV,26+,3.29,Marijuana
WV,18+,5.14,Marijuana
WV,12+,37.53,Alcohol
WV,17-Dec,13.45,Alcohol
WV,18-25,55.99,Alcohol
WV,26+,37.27,Alcohol
WV,18+,39.7,Alcohol
WV,12+,6.99,Illicit Drugs
WV,17-Dec,8.73,Illicit Drugs
WV,18-25,20.96,Illicit Drugs
WV,26+,4.73,Illicit Drugs
WV,18+,6.84,Illicit Drugs
WV,12+,37.24,Tobacco
WV,17-Dec,15.17,Tobacco
WV,18-25,51.38,Tobacco
WV,26+,37.4,Tobacco
WV,18+,39.22,Tobacco
NORTHEAST REGION,12+,7.72,Marijuana
NORTHEAST REGION,17-Dec,8.05,Marijuana
NORTHEAST REGION,18-25,21.34,Marijuana
NORTHEAST REGION,26+,5.4,Marijuana
NORTHEAST REGION,18+,7.69,Marijuana
NORTHEAST REGION,12+,57.31,Alcohol
NORTHEAST REGION,17-Dec,15.81,Alcohol
NORTHEAST REGION,18-25,65.84,Alcohol
NORTHEAST REGION,26+,60.71,Alcohol
NORTHEAST REGION,18+,61.45,Alcohol
NORTHEAST REGION,12+,9.39,Illicit Drugs
NORTHEAST REGION,17-Dec,9.9,Illicit Drugs
NORTHEAST REGION,18-25,23.59,Illicit Drugs
NORTHEAST REGION,26+,6.95,Illicit Drugs
NORTHEAST REGION,18+,9.34,Illicit Drugs
NORTHEAST REGION,12+,25.62,Tobacco
NORTHEAST REGION,17-Dec,9.46,Tobacco
NORTHEAST REGION,18-25,38.04,Tobacco
NORTHEAST REGION,26+,25.42,Tobacco
NORTHEAST REGION,18+,27.23,Tobacco
HI,12+,7.57,Marijuana
HI,17-Dec,9.69,Marijuana
HI,18-25,18.15,Marijuana
HI,26+,5.69,Marijuana
HI,18+,7.37,Marijuana
